data_idx,id,type,value,baseline,finetuned
,,step 0,"The premise says that Rafik Hariri, the former Prime Minister, was killed in a car bomb in Lebanon. This implies that Rafik Hariri was a person from Lebanon, but the premise does not explicitly state it.",0.408203125,0.75390625
,,step 1,"However, the information about Rafik Hariri being the former Prime Minister of Lebanon and being killed there is sufficient to imply that he likely held that position due to being a citizen of the country.",0.96875,0.8515625
,,step 2,"Therefore, the final answer is entailment.",0.77734375,0.96875
,,annotation,wrong_ground_truth,,
95,anli_test_6fa9f032-5765-4653-bc13-30df3d20d16d,,,,
,,question,"Premise: A Sad Man<br>Jim's grandfather had been sick. His family decided to put him in a home. Jim's grandfather was feeling blue. Jim started to visit his grandfather several times a week. Jim's grandfather started to feel better.
Hypothesis: Jim's grandfather was felling well. 
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,contradiction,,
,,solution selected by baseline,,,
,,step 0,"Premise says, ""Jim's grandfather was feeling blue"" and then ""Jim's grandfather started to feel better."" This implies that Jim's grandfather was initially feeling unwell, but then his condition improved.",0.28125,0.95703125
,,step 1,"The hypothesis says that Jim's grandfather was feeling well, which contradicts the premise that he was initially feeling blue.",0.81640625,0.59375
,,step 2,"Therefore, the final answer is contradiction.",0.953125,0.9140625
,,solution selected by finetuned,,,
,,step 0,"Premise says, ""Jim's grandfather was feeling blue,"" which implies that he was not feeling well.",0.1826171875,0.96875
,,step 1,"However, the premise also says, ""Jim's grandfather started to feel better,"" which implies that his condition improved.",0.98828125,0.98046875
,,step 2,"Premise does not directly say that Jim's grandfather was feeling well, but it sets up a scenario where his condition improves.",0.796875,0.8359375
,,step 3,"Therefore, the premises provide partial information that supports the hypothesis, but they do not directly entail it.",0.8515625,0.796875
,,step 4,The final answer is neutral.,0.99609375,0.953125
,,annotation,wrong_ground_truth,,
109,anli_test_93cf4664-09a4-4668-bf4b-69e7f77ebf9b,,,,
,,question,"Premise: Prosecutors were still expected to unseal an 11-count manslaughter indictment against the ferry's captain, Michael Gansas.
Hypothesis: Michael Gansas is a suspected murderer.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"The premise mentions an ""11-count manslaughter indictment"", which means Michael Gansas is being charged with manslaughter, but it does not imply that he is a murderer.",0.484375,0.46875
,,step 1,"In fact, manslaughter is typically a lesser charge than murder.",0.98828125,0.953125
,,step 2,"Therefore, the premise does not necessarily imply that Michael Gansas is a murderer.",0.98046875,0.93359375
,,step 3,The hypothesis is stronger than what the premise implies.,0.953125,0.9140625
,,step 4,The final answer is neutral.,0.9921875,0.99609375
,,solution selected by finetuned,,,
,,step 0,"The premise mentions an ""11-count manslaughter indictment"", which implies that Michael Gansas is accused of manslaughter, a lesser charge than murder.",0.09521484375,0.796875
,,step 1,"The hypothesis states that Michael Gansas is a suspected murderer, which is a more severe charge than manslaughter.",0.294921875,0.8671875
,,step 2,"In summary, the premise implies that Michael Gansas is accused of manslaughter, not murder, which contradicts the hypothesis.",0.8515625,0.96875
,,step 3,"Therefore, the final answer is contradiction.",0.984375,1.0
,,annotation,wrong_ground_truth,,
118,anli_test_eb8f4d38-ece2-46d7-bbcc-20c6ef5bcb5e,,,,
,,question,"Premise: Sal's Pizza<br>Sal owned a popular pizza restaurant in New York. One night, his store was burglarized. All of his cooking equipment was stolen. The locals donated money to Sal. Sal got his business running again.
Hypothesis: Locals have been visiting Sal's Pizza restaurant in New York.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,entailment,,
,,solution selected by baseline,,,
,,step 0,"Premise says, ""Sal got his business running again,"" implying that the business was reopened.",0.796875,0.98828125
,,step 1,"Premise also says, ""Locals donated money to Sal,"" which implies that the locals were supporting Sal's business.",1.0,0.99609375
,,step 2,"It can be inferred that if the locals were supporting Sal's business and the business was reopened, then the locals would likely be visiting the reopened business.",1.0,0.9453125
,,step 3,"In summary, the premise implies that the locals were visiting Sal's Pizza restaurant in New York.",0.9765625,0.70703125
,,step 4,"Therefore, the final answer is entailment.",1.0,1.0
,,solution selected by finetuned,,,
,,step 0,"Premise says, ""Sal got his business running again"" after the burglary. It does not directly imply that locals are visiting the restaurant, but it implies that the business is still operational.",0.392578125,0.90625
,,step 1,"Premise also says, ""The locals donated money to Sal."" This implies that the locals were involved in helping Sal, which could suggest they are interested in his business, but it does not directly imply they are visiting the restaurant.",0.99609375,0.95703125
,,step 2,"However, the premise also says, ""Sal owned a popular pizza restaurant in New York,"" which suggests that people are likely to visit a popular restaurant. ",0.99609375,0.98828125
,,step 3,"In summary, the premises do not directly imply that locals are visiting Sal's Pizza, but they do provide some indirect suggestions that could lead to the conclusion that locals are visiting the restaurant.",0.93359375,0.73046875
,,step 4,"Therefore, the final answer is neutral, but leaning towards entailment.",0.98046875,0.92578125
,,annotation,wrong_ground_truth,,
125,anli_test_560a434d-e0b2-42b7-a615-03e5e22ac5e7,,,,
,,question,"Premise: Splashdown is a log flume located at Castles N' Coasters, a theme park in Phoenix, Arizona. It is noted for its two drops, as well as many other special features. The whole ride is themed after a logging expedition through Polynesia. Splashdown is also known for narrowly being dodged by the nearby Desert Storm roller coaster.
Hypothesis: Splashdown is close to Desert Storm, so Desert storm riders can see Splashdown.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"Premise says, ""Splashdown is also known for narrowly being dodged by the nearby Desert Storm roller coaster."" This implies that Splashdown and Desert Storm are close, but it does not necessarily imply that Desert Storm riders can see Splashdown. ",0.578125,0.3203125
,,step 1,"It only implies proximity, not visibility.",0.98828125,0.97265625
,,step 2,"Therefore, the final answer is neutral.",0.97265625,0.92578125
,,solution selected by finetuned,,,
,,step 0,"Premise says, ""Splashdown is also known for narrowly being dodged by the nearby Desert Storm roller coaster."" This implies that Desert Storm and Splashdown are close to each other, but also that they narrowly avoid colliding, which suggests that they are close enough to potentially collide.",0.59375,0.87890625
,,step 1,"Premise also mentions that Splashdown is located at Castles N' Coasters, a theme park in Phoenix, Arizona, but does not specify the exact layout or proximity of the rides.",0.1826171875,0.89453125
,,step 2,"However, the phrase ""nearly being dodged"" implies proximity and potential collision, which supports the idea that Desert Storm riders can see Splashdown.",0.9140625,0.90625
,,step 3,"Therefore, the final answer is entailment.",0.87890625,0.99609375
,,annotation,finetuned_wrong,,
159,anli_test_8951f5b1-6c6f-4f16-a9f1-8c922287e208,,,,
,,question,"Premise: Although the number of the confirmed Ebola cases has risen slightly to 26 in Gabon and to 16 in Congo Brazzaville, new infections are now so low that it seems the epidemic is ""burning out"".
Hypothesis: Ebola isn't eradicated yet
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"Premise says, ""new infections are now so low that it seems the epidemic is 'burning out'."" This implies that the epidemic is nearing an end or is in decline.",0.59375,0.984375
,,step 1,"It does not directly support the hypothesis that Ebola isn't eradicated yet, but it also doesn't directly contradict it.",0.9453125,0.349609375
,,step 2,"However, the premise implies that the epidemic is in decline, which suggests that the hypothesis that Ebola isn't eradicated yet is not supported by the premise.",0.73046875,0.0849609375
,,step 3,"Therefore, the final answer is neutral.",0.89453125,0.53125
,,solution selected by finetuned,,,
,,step 0,"Premise says, ""new infections are now so low that it seems the epidemic is 'burning out'."" This implies that the epidemic is decreasing and possibly coming to an end, rather than still being active.",0.22265625,0.92578125
,,step 1,"The premise does not provide information about whether the epidemic has been completely eradicated, but it suggests that the number of new cases is decreasing, which contradicts the idea that Ebola isn't eradicated yet.",0.75390625,0.2021484375
,,step 2,"Therefore, the final answer is contradiction.",0.89453125,0.984375
,,annotation,wrong_ground_truth,,
183,anli_test_444bfd47-9e7f-4a72-a5ea-77b467fe94c6,,,,
,,question,"Premise: The Toti class were submarines built for the Italian Navy in the 1960s. They were the first submarines designed and built in Italy since World War II. These boats were small and designed as ""hunter killer"" anti-submarine submarines. They are comparable to the German Type 205 submarines and the French Aréthuse class submarines.
Hypothesis: The subs were built for the Italian Navy, but maybe not by the Italian Navy.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"Premise says, ""The Toti class were submarines built for the Italian Navy."" This directly states that the subs were built for the Italian Navy.",0.87890625,1.0
,,step 1,The premise does not provide any information that suggests the subs were not built by the Italian Navy.,0.9765625,0.796875
,,step 2,"In summary, the premise implies that the subs were built for the Italian Navy, but it does not provide any evidence that they were not built by the Italian Navy.",0.98828125,0.9921875
,,step 3,"Therefore, the final answer is neutral.",0.98046875,0.98828125
,,solution selected by finetuned,,,
,,step 0,"Premise says, ""The Toti class were submarines built for the Italian Navy in the 1960s."" This statement clearly implies that the subs were built for the Italian Navy, and it does not leave room for any other possibilities.",0.1484375,0.9921875
,,step 1,"Therefore, the hypothesis is contradicted by the premise.",0.1640625,0.94140625
,,step 2,The final answer is contradiction.,0.99609375,1.0
,,annotation,wrong_intermediate,,
233,anli_test_a1445c66-ab43-462d-8130-7b900a450c8e,,,,
,,question,"Premise: The land claims agreement must still be approved by the Canadian House of Commons , but has already passed through the House of Assembly of Newfoundland and Labrador.
Hypothesis: American house of commons is not mentioned
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"The premise mentions the ""Canadian House of Commons"" but does not mention the ""American house of commons"" at all.",0.546875,0.96875
,,step 1,"Therefore, the premise does not provide any information about the American house of commons, and the hypothesis is unrelated to the premise.",0.953125,0.2021484375
,,step 2,The premise and the hypothesis are independent of each other.,0.97265625,0.96875
,,step 3,"Therefore, the final answer is neutral.",0.99609375,0.97265625
,,solution selected by finetuned,,,
,,step 0,"The premise mentions ""the Canadian House of Commons"", which implies that there is a Canadian House of Commons, but it does not mention the ""American house of commons"".",0.4375,0.87890625
,,step 1,"Therefore, the premise does not mention the ""American house of commons"" at all, which supports the hypothesis.",0.97265625,0.9921875
,,step 2,"Therefore, the final answer is entailment.",0.90625,0.99609375
,,annotation,wrong_ground_truth,,
249,anli_test_2ac32a35-e251-4bd6-b2b6-0a42cc17ef4c,,,,
,,question,"Premise: Philip Morris cited strong volume gains in Germany, Italy, France, Spain, central and eastern Europe, Russia, the Middle East, Japan, Korea, Argentina and Brazil.
Hypothesis: Eastern Europe wasn't important enough to be broken down by country.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,entailment,,
,,solution selected by baseline,,,
,,step 0,"Premise mentions ""central and eastern Europe"" as a separate region, but it also breaks down other regions by country (e.g., Germany, Italy, France, Spain, Japan, Korea, Argentina, Brazil).",0.333984375,0.5625
,,step 1,"The fact that ""central and eastern Europe"" is not broken down by country suggests that it is not as important or detailed as the other regions.",0.8515625,0.73046875
,,step 2,"In summary, the premise implies that central and eastern Europe wasn't broken down by country, which supports the hypothesis.",0.81640625,0.89453125
,,step 3,"Therefore, the final answer is entailment.",0.9921875,0.984375
,,solution selected by finetuned,,,
,,step 0,"Premise mentions ""central and eastern Europe"" as a separate region, implying that it was important enough to be broken down separately from other regions.",0.2451171875,0.81640625
,,step 1,"This suggests that the premise actually derives the opposite hypothesis, that Eastern Europe was important enough to be broken down by country.",0.73046875,0.70703125
,,step 2,"Therefore, the final answer is contradiction.",0.984375,1.0
,,annotation,wrong_ground_truth,,
